,left_ear,right_ear,ear,left_eye_width,left_eye_height_1,left_eye_height_2,right_eye_width,right_eye_height_1,right_eye_height_2,label,outlier_feature_count,outlier_features
861,0.3539203563820658,0.3149759010526473,0.3344481287173566,0.0335912665115472,0.0120485590551152,0.0117287069750682,0.0290362561855259,0.008682814700634,0.009608627209829,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
862,0.3307090591150584,0.3546736348877441,0.3426913470014013,0.0336598624883119,0.0113212280163743,0.0109420148905294,0.0286298453331593,0.0097111077532139,0.0105973948679571,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
863,0.3371136315581285,0.3512501466602596,0.3441818891091941,0.0333427621962478,0.0113925839997708,0.0110880153005415,0.0292135911447751,0.0097436663051104,0.0107788900430398,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
864,0.3418943178066693,0.3618317399291283,0.3518630288678988,0.0329137306355028,0.0113704322306903,0.0111356027335051,0.0289804046217543,0.0100020539525138,0.0109700065037652,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
943,0.2987645015187796,0.3112647205276773,0.3050146110232284,0.0312764683298142,0.0097062560978093,0.0089823408418402,0.0311112515737515,0.0091450703397865,0.0102225997129535,CLOSED,1,left_eye_height_1
983,0.3324343892080317,0.3642159070293479,0.3483251481186898,0.0271146691157496,0.0091182458940284,0.0089094510381157,0.0259458420664416,0.0088601278356611,0.0100396489680773,CLOSED,3,"left_ear, right_ear, ear"
984,0.376712074274281,0.29445997699252,0.3355860256334005,0.0284776462647588,0.0109050898212107,0.0105506565684822,0.0280262229450117,0.0076619008635611,0.0088433010635896,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
985,0.414406302089927,0.3499590532195393,0.3821826776547332,0.0293870211671246,0.0124933131491538,0.0118630203934592,0.0271660104135508,0.0090178139650021,0.0099961686031546,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
986,0.3647583822480785,0.3647607893871214,0.3647595858176,0.0307829355033745,0.0114183325089337,0.0110383350011818,0.0281415164833821,0.0097083145636767,0.0108215289703815,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
987,0.3796815114331683,0.3643399992759714,0.3720107553545698,0.0316135300200771,0.0123222340902614,0.01168391162926,0.0297718950785109,0.010411375641735,0.0112828088209628,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
988,0.3787719216969384,0.3811899461926645,0.3799809339448015,0.0325322469427327,0.0128911415963588,0.0117534617868776,0.029763385541229,0.0110097992580509,0.0116812074078942,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
989,0.3981064529300466,0.3840621632812774,0.391084308105662,0.0335406443921412,0.0137270541955539,0.0129784397403329,0.0299891866011513,0.0110989212810953,0.0119365024810727,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
990,0.3791395489205912,0.3926129281094924,0.3858762385150418,0.0335532273136745,0.0131770323380305,0.0122656785990426,0.0299400053511796,0.0113544040474536,0.0121552622896274,CLOSED,6,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1"
991,0.3713974745784155,0.3783917028691798,0.3748945887237976,0.0345877348370287,0.0132018695609851,0.0124897251787355,0.0298986219249165,0.0106756491503398,0.0119511317768821,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
992,0.3708081261311647,0.3905105879101833,0.380659357020674,0.033752045603466,0.0128599738792169,0.0121710916874127,0.0291639126811949,0.0110193000869753,0.011758333286814,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
993,0.3522724293984758,0.3908843764357732,0.3715784029171245,0.0341843035185222,0.0124215773807286,0.0116627979148007,0.0297046086143331,0.0112254187808696,0.011996716050095,CLOSED,6,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1"
